date,l_ipn,r_asn,f
01/07/2006,9,701,8
01/07/2006,9,1239,17
01/07/2006,9,2152,193
01/07/2006,9,2911,71
01/07/2006,9,3356,34
01/07/2006,9,3561,13
01/07/2006,9,4267,2
01/07/2006,9,5779,104
01/07/2006,9,6432,5
01/07/2006,9,6453,7
01/07/2006,9,7224,5
01/07/2006,9,7743,32
01/07/2006,9,8070,6
01/07/2006,9,8075,2
01/07/2006,9,8912,5
01/07/2006,9,10565,1
01/07/2006,9,10763,6
01/07/2006,9,10794,7
01/07/2006,9,11266,59
01/07/2006,9,11486,15
01/07/2006,9,11499,6
01/07/2006,9,12182,9
01/07/2006,9,12217,12
01/07/2006,9,12222,7
01/07/2006,9,14779,79
01/07/2006,9,14780,328
01/07/2006,9,15169,40
01/07/2006,9,16509,15
01/07/2006,9,17110,8
01/07/2006,9,22758,4
01/07/2006,9,26101,89
01/07/2006,9,30217,6
01/07/2006,9,33419,1
01/07/2006,9,36088,217
02/07/2006,0,209,1
02/07/2006,0,701,1
02/07/2006,0,766,1
02/07/2006,0,2514,1
02/07/2006,0,2711,1
02/07/2006,0,2819,1
02/07/2006,0,2856,1
02/07/2006,0,3269,8
02/07/2006,0,3320,1
02/07/2006,0,3561,14
02/07/2006,0,4766,1
02/07/2006,0,5462,1
02/07/2006,0,9038,1
02/07/2006,0,9708,1
02/07/2006,0,10139,1
02/07/2006,0,11351,2
02/07/2006,0,12322,1
02/07/2006,0,12542,1
02/07/2006,0,12946,1
02/07/2006,0,13462,16
02/07/2006,0,13749,849
02/07/2006,0,15802,1
02/07/2006,0,17506,2
02/07/2006,0,17858,1
02/07/2006,0,19262,1
02/07/2006,0,20401,1
02/07/2006,0,22909,1
02/07/2006,0,24093,2
02/07/2006,0,26085,1
02/07/2006,0,26101,1
02/07/2006,0,28573,1
02/07/2006,0,33651,1
02/07/2006,0,33657,1
02/07/2006,0,35916,1
02/07/2006,1,766,1
02/07/2006,1,2852,2
02/07/2006,1,2856,6
02/07/2006,1,3265,1611
02/07/2006,1,3269,50
02/07/2006,1,3354,2
02/07/2006,1,3549,1
02/07/2006,1,3561,8
02/07/2006,1,4134,2
02/07/2006,1,4323,1
02/07/2006,1,4766,1
02/07/2006,1,4808,9
02/07/2006,1,4812,1
02/07/2006,1,4837,3
02/07/2006,1,5432,1
02/07/2006,1,6478,2
02/07/2006,1,7132,1
02/07/2006,1,11351,1
02/07/2006,1,11427,2
02/07/2006,1,11908,1
02/07/2006,1,12302,53
02/07/2006,1,12322,1
02/07/2006,1,13571,2
02/07/2006,1,13749,849
02/07/2006,1,13767,4
02/07/2006,1,14777,7
02/07/2006,1,14778,16
02/07/2006,1,15169,10
02/07/2006,1,16852,2
02/07/2006,1,17184,3
02/07/2006,1,19548,2
02/07/2006,1,19945,1
02/07/2006,1,22773,1
02/07/2006,1,32244,1
02/07/2006,1,33287,1
02/07/2006,1,33653,1
02/07/2006,1,36727,1
02/07/2006,2,174,1
02/07/2006,2,766,1
02/07/2006,2,1312,92
02/07/2006,2,2637,1
02/07/2006,2,2915,38
02/07/2006,2,3557,1
02/07/2006,2,3561,7
02/07/2006,2,4323,16
02/07/2006,2,7018,936
02/07/2006,2,7132,4
02/07/2006,2,7377,83
02/07/2006,2,12513,3
02/07/2006,2,13749,849
02/07/2006,2,29863,4
02/07/2006,3,766,2
02/07/2006,3,3269,5
02/07/2006,3,3354,2
02/07/2006,3,3593,2
02/07/2006,3,4134,4
02/07/2006,3,4808,8
02/07/2006,3,4837,1
02/07/2006,3,13582,1
02/07/2006,3,13749,1
02/07/2006,3,17184,4
02/07/2006,4,766,1
02/07/2006,4,3269,29
02/07/2006,4,4323,1
02/07/2006,4,13749,390
02/07/2006,4,14778,4
02/07/2006,4,29895,413
02/07/2006,4,31976,85
02/07/2006,4,33651,18
02/07/2006,5,209,1
02/07/2006,5,766,1
02/07/2006,5,2152,2
02/07/2006,5,3269,5
02/07/2006,5,3356,1
02/07/2006,5,3593,1
02/07/2006,5,4134,10
02/07/2006,5,4808,7
02/07/2006,5,4837,2
02/07/2006,5,8070,5
02/07/2006,5,8075,5
02/07/2006,5,10139,7
02/07/2006,5,11351,2
02/07/2006,5,13749,1
02/07/2006,5,13867,2
02/07/2006,5,14366,4
02/07/2006,5,17184,2
02/07/2006,5,17429,2
02/07/2006,6,766,1
02/07/2006,6,3269,5
02/07/2006,6,3354,2
02/07/2006,6,4134,5
02/07/2006,6,4808,8
02/07/2006,6,4812,1
02/07/2006,6,4837,2
02/07/2006,6,13749,1
02/07/2006,6,17184,2
02/07/2006,7,109,7
02/07/2006,7,2152,6
02/07/2006,7,3561,1
02/07/2006,7,8070,2
02/07/2006,7,8075,2
02/07/2006,7,17184,2
02/07/2006,7,18924,48
02/07/2006,8,109,7
02/07/2006,8,3356,1
02/07/2006,8,3701,4
02/07/2006,8,8075,2
02/07/2006,8,13749,570
02/07/2006,8,15169,105
02/07/2006,9,7132,2
02/07/2006,9,8070,3
03/07/2006,0,52,1
03/07/2006,0,209,1
03/07/2006,0,701,7
03/07/2006,0,2856,1
03/07/2006,0,3269,9
03/07/2006,0,3462,1
03/07/2006,0,3561,28
03/07/2006,0,3790,1
03/07/2006,0,4134,1
03/07/2006,0,4323,1
03/07/2006,0,4513,101
03/07/2006,0,4766,3
03/07/2006,0,4837,1
03/07/2006,0,5384,1
03/07/2006,0,5486,1
03/07/2006,0,6147,1
03/07/2006,0,6432,1
03/07/2006,0,6724,1
03/07/2006,0,7029,1
03/07/2006,0,8151,1
03/07/2006,0,8167,1
03/07/2006,0,9121,2
03/07/2006,0,9394,1
03/07/2006,0,9811,1
03/07/2006,0,12270,1
03/07/2006,0,12970,1
03/07/2006,0,13462,17
03/07/2006,0,13867,1
03/07/2006,0,16338,1
03/07/2006,0,18229,1
03/07/2006,0,19115,1
03/07/2006,0,19864,48
03/07/2006,0,26085,3
03/07/2006,0,26101,2
03/07/2006,0,31976,1
03/07/2006,0,33650,1
03/07/2006,0,33651,1
03/07/2006,0,36727,2
03/07/2006,1,3,5
03/07/2006,1,209,1
03/07/2006,1,680,2
03/07/2006,1,2711,1
03/07/2006,1,3265,1564
03/07/2006,1,3269,30
03/07/2006,1,3320,1074
03/07/2006,1,3462,1
03/07/2006,1,3561,1
03/07/2006,1,4134,7
03/07/2006,1,4230,1
03/07/2006,1,4513,101
03/07/2006,1,4766,3
03/07/2006,1,5617,1
03/07/2006,1,5668,2
03/07/2006,1,6388,1
03/07/2006,1,6461,6
03/07/2006,1,6478,1
03/07/2006,1,7015,1
03/07/2006,1,7132,5
03/07/2006,1,7303,1
03/07/2006,1,7718,1
03/07/2006,1,9271,2
03/07/2006,1,9394,1
03/07/2006,1,9808,1
03/07/2006,1,9908,1
03/07/2006,1,9929,2
03/07/2006,1,11427,1
03/07/2006,1,11456,1
03/07/2006,1,12271,1
03/07/2006,1,12302,190
03/07/2006,1,12322,1
03/07/2006,1,13767,4
03/07/2006,1,14742,2
03/07/2006,1,14777,12
03/07/2006,1,14778,13
03/07/2006,1,14780,1
03/07/2006,1,15169,5
03/07/2006,1,17974,2
03/07/2006,1,18229,1
03/07/2006,1,19318,2
03/07/2006,1,19429,2
03/07/2006,1,20676,2
03/07/2006,1,22773,1
03/07/2006,1,32244,1
03/07/2006,1,33287,2
03/07/2006,1,33651,1
03/07/2006,1,33668,1
03/07/2006,2,1312,103
03/07/2006,2,2637,1
03/07/2006,2,3269,3
03/07/2006,2,3561,4
03/07/2006,2,3701,1
03/07/2006,2,4323,8
03/07/2006,2,4513,101
03/07/2006,2,4766,1
03/07/2006,2,5617,10
03/07/2006,2,6106,1
03/07/2006,2,7018,933
03/07/2006,2,7065,1
03/07/2006,2,7132,5
03/07/2006,2,7377,94
03/07/2006,2,9316,1
03/07/2006,2,9394,1
03/07/2006,2,12260,4
03/07/2006,2,16572,8
03/07/2006,2,18229,1
03/07/2006,2,19306,3
03/07/2006,2,29863,8
03/07/2006,2,30099,4
03/07/2006,3,680,2
03/07/2006,3,3269,6
03/07/2006,3,4134,6
03/07/2006,3,4230,1
03/07/2006,3,4513,1
03/07/2006,3,4766,2
03/07/2006,3,4808,1
03/07/2006,3,7132,1
03/07/2006,3,9271,1
03/07/2006,3,9394,1
03/07/2006,3,17429,1
03/07/2006,3,18229,1
03/07/2006,3,19318,1
03/07/2006,4,3269,6
03/07/2006,4,4513,101
03/07/2006,4,4766,1
03/07/2006,4,7132,15
03/07/2006,4,9394,1
03/07/2006,4,9803,2
03/07/2006,4,14777,2
03/07/2006,4,18229,1
03/07/2006,4,22855,34
03/07/2006,4,31976,82
03/07/2006,5,680,2
03/07/2006,5,2152,2
03/07/2006,5,3269,6
03/07/2006,5,3561,4
03/07/2006,5,4134,3
03/07/2006,5,4230,2
03/07/2006,5,4513,2
03/07/2006,5,4766,1
03/07/2006,5,4808,3
03/07/2006,5,6432,4
03/07/2006,5,7132,2
03/07/2006,5,8070,6
03/07/2006,5,8075,6
03/07/2006,5,9156,1
03/07/2006,5,9271,2
03/07/2006,5,9316,1
03/07/2006,5,9394,1
03/07/2006,5,12222,3
03/07/2006,5,13867,2
03/07/2006,5,14779,1
03/07/2006,5,15169,3
03/07/2006,5,18229,2
03/07/2006,5,19318,6
03/07/2006,5,21844,1
03/07/2006,5,22781,1
03/07/2006,5,26085,1
03/07/2006,5,26101,2
03/07/2006,5,26201,1
03/07/2006,6,680,2
03/07/2006,6,3269,6
03/07/2006,6,4134,9
03/07/2006,6,4230,1
03/07/2006,6,4513,2
03/07/2006,6,4766,1
03/07/2006,6,4808,1
03/07/2006,6,4837,1
03/07/2006,6,7132,2
03/07/2006,6,9271,2
03/07/2006,6,9394,1
03/07/2006,6,9808,1
03/07/2006,6,18229,2
03/07/2006,6,19318,2
03/07/2006,6,23844,1
03/07/2006,6,33314,1
03/07/2006,7,3,2
03/07/2006,7,109,7
03/07/2006,7,1103,3
03/07/2006,7,1239,7
03/07/2006,7,1784,2
03/07/2006,7,2152,33
03/07/2006,7,2637,1
03/07/2006,7,2914,36
03/07/2006,7,3320,2
03/07/2006,7,3356,1
03/07/2006,7,3561,5
03/07/2006,7,3701,3
03/07/2006,7,4264,2
03/07/2006,7,6102,2
03/07/2006,7,6432,8
03/07/2006,7,6461,1
03/07/2006,7,7018,1
03/07/2006,7,7132,2
03/07/2006,7,8070,1
03/07/2006,7,8075,2
03/07/2006,7,8121,3
03/07/2006,7,8560,1
03/07/2006,7,9156,11
03/07/2006,7,10565,11
03/07/2006,7,10910,9
03/07/2006,7,12182,3
03/07/2006,7,12222,4
03/07/2006,7,13649,1
03/07/2006,7,13749,1
03/07/2006,7,14745,1
03/07/2006,7,14992,4
03/07/2006,7,15169,130
03/07/2006,7,16966,16
03/07/2006,7,18924,56
03/07/2006,7,19024,2
03/07/2006,7,19355,2
03/07/2006,7,21844,46
03/07/2006,7,23352,4
03/07/2006,7,25751,7
03/07/2006,7,30081,29
03/07/2006,7,30380,10
03/07/2006,7,33694,2
03/07/2006,8,25,3
03/07/2006,8,109,7
03/07/2006,8,786,1
03/07/2006,8,2386,36
03/07/2006,8,2553,41
03/07/2006,8,2843,4
03/07/2006,8,3561,10
03/07/2006,8,3701,4
03/07/2006,8,3999,1
03/07/2006,8,4267,2
03/07/2006,8,4323,17
03/07/2006,8,6307,10
03/07/2006,8,6334,20
03/07/2006,8,7132,22
03/07/2006,8,7258,3
03/07/2006,8,8070,2
03/07/2006,8,10763,2
03/07/2006,8,11734,1
03/07/2006,8,11771,10
03/07/2006,8,12222,4
03/07/2006,8,13749,279
03/07/2006,8,15169,253
03/07/2006,8,17820,2
03/07/2006,8,18229,169
03/07/2006,8,22822,14
03/07/2006,8,23123,3
03/07/2006,8,30217,26
03/07/2006,8,30315,2
03/07/2006,8,30387,3
03/07/2006,9,102,8
03/07/2006,9,209,7
03/07/2006,9,797,143
03/07/2006,9,1239,3
03/07/2006,9,2013,19
03/07/2006,9,2152,14
03/07/2006,9,3356,2
03/07/2006,9,3561,7
03/07/2006,9,3707,81
03/07/2006,9,4355,4
03/07/2006,9,6307,11
03/07/2006,9,6334,3
03/07/2006,9,6432,3
03/07/2006,9,6453,10
03/07/2006,9,6939,3
03/07/2006,9,7018,6
03/07/2006,9,7224,4
03/07/2006,9,7743,23
03/07/2006,9,7912,3
03/07/2006,9,8002,1
03/07/2006,9,8070,3
03/07/2006,9,10565,1
03/07/2006,9,10763,6
03/07/2006,9,10794,8
03/07/2006,9,11266,44
03/07/2006,9,12168,4
03/07/2006,9,12179,6
03/07/2006,9,12182,9
03/07/2006,9,12217,12
03/07/2006,9,14297,10
03/07/2006,9,14443,12
03/07/2006,9,14744,2
03/07/2006,9,15104,60
03/07/2006,9,15169,255
03/07/2006,9,17392,5
03/07/2006,9,19296,5
03/07/2006,9,19355,3
03/07/2006,9,19536,26
03/07/2006,9,20461,6
03/07/2006,9,30678,7
04/07/2006,0,701,4
04/07/2006,0,2152,1
04/07/2006,0,3064,1
04/07/2006,0,3269,7
04/07/2006,0,3462,1
04/07/2006,0,3561,34
04/07/2006,0,4538,1
04/07/2006,0,4766,2714
04/07/2006,0,4808,1
04/07/2006,0,4812,1
04/07/2006,0,4837,1
04/07/2006,0,5760,1
04/07/2006,0,6724,1
04/07/2006,0,7018,1
04/07/2006,0,7029,2
04/07/2006,0,7132,1
04/07/2006,0,8167,1
04/07/2006,0,9121,1
04/07/2006,0,9800,65
04/07/2006,0,10796,1
04/07/2006,0,11172,1
04/07/2006,0,11398,1
04/07/2006,0,13462,32
04/07/2006,0,13609,1
04/07/2006,0,14780,1
04/07/2006,0,18229,79
04/07/2006,0,19191,1
04/07/2006,0,19262,2
04/07/2006,0,20172,1
04/07/2006,0,22291,2
04/07/2006,0,22773,1
04/07/2006,0,22909,1
04/07/2006,0,23520,1
04/07/2006,0,26085,3
04/07/2006,0,27262,1
04/07/2006,0,31976,1
04/07/2006,0,33774,1
04/07/2006,0,35908,1
04/07/2006,1,852,2
04/07/2006,1,1103,2
04/07/2006,1,2418,2
04/07/2006,1,2516,3
04/07/2006,1,2828,2
04/07/2006,1,3242,1
04/07/2006,1,3265,1493
04/07/2006,1,3269,20
04/07/2006,1,3354,2
04/07/2006,1,3356,1
04/07/2006,1,3462,1
04/07/2006,1,3561,6
04/07/2006,1,3741,2
04/07/2006,1,4134,8
04/07/2006,1,4266,2
04/07/2006,1,4323,1
04/07/2006,1,4589,2
04/07/2006,1,4766,15
04/07/2006,1,4812,4
04/07/2006,1,4837,3
04/07/2006,1,5379,3
04/07/2006,1,6713,5
04/07/2006,1,8075,2
04/07/2006,1,8708,1
04/07/2006,1,9269,1
04/07/2006,1,9271,2
04/07/2006,1,9800,1
04/07/2006,1,9808,1
04/07/2006,1,9812,1
04/07/2006,1,9929,1
04/07/2006,1,11232,1
04/07/2006,1,11351,3
04/07/2006,1,12302,201
04/07/2006,1,14777,12
04/07/2006,1,14778,6
04/07/2006,1,15169,12
04/07/2006,1,17429,1
04/07/2006,1,18229,66
04/07/2006,1,19191,18
04/07/2006,1,20115,2
04/07/2006,1,22773,1
04/07/2006,1,31094,1
04/07/2006,1,33651,2
04/07/2006,2,81,29
04/07/2006,2,1312,85
04/07/2006,2,2914,1
04/07/2006,2,3269,4
04/07/2006,2,3462,1
04/07/2006,2,3561,11
04/07/2006,2,4812,1
04/07/2006,2,5617,411
04/07/2006,2,7018,935
04/07/2006,2,7065,1
04/07/2006,2,7132,3
04/07/2006,2,7377,73
04/07/2006,2,9800,1
04/07/2006,2,18229,11
04/07/2006,2,19181,1
04/07/2006,2,29863,8
04/07/2006,2,30099,4
04/07/2006,2,33260,4
04/07/2006,3,852,1
04/07/2006,3,2418,1
04/07/2006,3,3269,26
04/07/2006,3,3354,2
04/07/2006,3,4134,1
04/07/2006,3,4589,2
04/07/2006,3,4812,4
04/07/2006,3,9271,1
04/07/2006,3,9800,2
04/07/2006,3,9812,1
04/07/2006,3,18229,4
04/07/2006,3,27699,2
04/07/2006,4,3269,4
04/07/2006,4,4323,1
04/07/2006,4,4812,1
04/07/2006,4,7132,15
04/07/2006,4,9800,1
04/07/2006,4,14778,7
04/07/2006,4,18229,14
04/07/2006,4,20001,14
04/07/2006,4,29895,28
04/07/2006,4,31976,83
04/07/2006,4,33651,19
04/07/2006,5,852,2
04/07/2006,5,2152,2
04/07/2006,5,2418,2
04/07/2006,5,3269,22
04/07/2006,5,3354,2
04/07/2006,5,3356,1
04/07/2006,5,3561,2
04/07/2006,5,4134,4
04/07/2006,5,4589,4
04/07/2006,5,4812,1
04/07/2006,5,8070,4
04/07/2006,5,8075,5
04/07/2006,5,9271,2
04/07/2006,5,9800,2
04/07/2006,5,9812,1
04/07/2006,5,13867,2
04/07/2006,5,18229,2
04/07/2006,5,19191,2
04/07/2006,5,27699,2
04/07/2006,6,4,1
04/07/2006,6,852,2
04/07/2006,6,2418,1
04/07/2006,6,3269,38
04/07/2006,6,3354,2
04/07/2006,6,4134,2
04/07/2006,6,4589,2
04/07/2006,6,4812,1
04/07/2006,6,9271,4
04/07/2006,6,9800,2
04/07/2006,6,9808,1
04/07/2006,6,9812,1
04/07/2006,6,9929,1
04/07/2006,6,17429,1
04/07/2006,6,18229,2
04/07/2006,6,19191,4
04/07/2006,6,27699,4
04/07/2006,7,109,8
04/07/2006,7,209,3
04/07/2006,7,852,2
04/07/2006,7,2152,34
04/07/2006,7,3356,1
04/07/2006,7,3561,2
04/07/2006,7,4264,1
04/07/2006,7,6432,9
04/07/2006,7,7018,3
04/07/2006,7,8070,3
04/07/2006,7,9156,1
04/07/2006,7,9271,4
04/07/2006,7,10565,1
04/07/2006,7,12168,2
04/07/2006,7,15169,52
04/07/2006,7,17225,4
04/07/2006,7,18924,48
04/07/2006,7,19306,7
04/07/2006,7,21568,7
04/07/2006,7,21844,3
04/07/2006,7,22758,2
04/07/2006,7,25751,1
04/07/2006,7,27699,1
04/07/2006,7,29668,1
04/07/2006,8,3,4
04/07/2006,8,38,8
04/07/2006,8,109,8
04/07/2006,8,209,1
04/07/2006,8,271,8
04/07/2006,8,559,11
04/07/2006,8,701,3
04/07/2006,8,786,3
04/07/2006,8,852,1
04/07/2006,8,1668,11
04/07/2006,8,2152,10
04/07/2006,8,3268,12
04/07/2006,8,3462,5
04/07/2006,8,3561,2
04/07/2006,8,3701,4
04/07/2006,8,4265,3
04/07/2006,8,4266,1
04/07/2006,8,4378,38
04/07/2006,8,5662,41
04/07/2006,8,5719,9
04/07/2006,8,6140,1
04/07/2006,8,6453,1
04/07/2006,8,7377,7
04/07/2006,8,8001,1
04/07/2006,8,8070,4
04/07/2006,8,8075,3
04/07/2006,8,9271,1
04/07/2006,8,10913,1
04/07/2006,8,11078,2
04/07/2006,8,11486,10
04/07/2006,8,12552,1
04/07/2006,8,13890,1
04/07/2006,8,14492,8
04/07/2006,8,15169,296
04/07/2006,8,17374,2
04/07/2006,8,18229,684
04/07/2006,8,22205,1
04/07/2006,8,22822,2
04/07/2006,8,22982,1
04/07/2006,8,27357,2
04/07/2006,8,30315,10
04/07/2006,8,33070,6
04/07/2006,8,33554,1
04/07/2006,8,36017,7
04/07/2006,9,7132,2
04/07/2006,9,8070,3
04/07/2006,9,11922,1
05/07/2006,0,553,4
05/07/2006,0,701,12
05/07/2006,0,1967,1
05/07/2006,0,2514,1
05/07/2006,0,3269,2
05/07/2006,0,3320,1
05/07/2006,0,3356,1
05/07/2006,0,3561,68
05/07/2006,0,3786,1
05/07/2006,0,4134,1
05/07/2006,0,4230,2
05/07/2006,0,4323,2
05/07/2006,0,4538,4
05/07/2006,0,4544,1
05/07/2006,0,4788,1
05/07/2006,0,4837,4
05/07/2006,0,5617,1
05/07/2006,0,5778,1
05/07/2006,0,6432,2
05/07/2006,0,6461,1
05/07/2006,0,6471,1
05/07/2006,0,6478,2
05/07/2006,0,6724,1
05/07/2006,0,6939,2
05/07/2006,0,8708,1
05/07/2006,0,9121,1
05/07/2006,0,11305,1
05/07/2006,0,11351,1
05/07/2006,0,11427,1
05/07/2006,0,13462,18
05/07/2006,0,13749,2
05/07/2006,0,13867,2
05/07/2006,0,14492,1
05/07/2006,0,15802,1
05/07/2006,0,16814,1
05/07/2006,0,19296,1
05/07/2006,0,20401,1
05/07/2006,0,21864,1
05/07/2006,0,26085,1
05/07/2006,0,27715,1
05/07/2006,0,29571,4
05/07/2006,0,33287,2
05/07/2006,1,55,2
05/07/2006,1,286,3
05/07/2006,1,553,1
05/07/2006,1,680,1
05/07/2006,1,2852,2
05/07/2006,1,3265,1469
05/07/2006,1,3561,13
05/07/2006,1,4134,2
05/07/2006,1,4266,4
05/07/2006,1,4323,1
05/07/2006,1,4538,1
05/07/2006,1,4766,4405
05/07/2006,1,4808,2
05/07/2006,1,4837,13
05/07/2006,1,6327,1
05/07/2006,1,6478,1
05/07/2006,1,7543,4
05/07/2006,1,8342,5
05/07/2006,1,9304,1
05/07/2006,1,9768,1
05/07/2006,1,9800,570
05/07/2006,1,9808,1
05/07/2006,1,10197,2
05/07/2006,1,10292,2
05/07/2006,1,12302,196
05/07/2006,1,12742,2
05/07/2006,1,13749,12
05/07/2006,1,13767,9
05/07/2006,1,13768,3
05/07/2006,1,14778,6
05/07/2006,1,14780,1
05/07/2006,1,15169,7
05/07/2006,1,17897,1
05/07/2006,1,24086,2
05/07/2006,1,27645,1
05/07/2006,1,27715,10
05/07/2006,1,32795,1
05/07/2006,1,33287,1
05/07/2006,1,39386,1
05/07/2006,2,16,1
05/07/2006,2,47,1
05/07/2006,2,81,1
05/07/2006,2,209,38
05/07/2006,2,1312,84
05/07/2006,2,3561,6
05/07/2006,2,4323,4
05/07/2006,2,4766,2725
05/07/2006,2,4837,1
05/07/2006,2,5617,12
05/07/2006,2,7018,921
05/07/2006,2,7065,2
05/07/2006,2,7132,3
05/07/2006,2,7377,78
05/07/2006,2,9506,18
05/07/2006,2,9800,734
05/07/2006,2,12513,2
05/07/2006,2,13749,29
05/07/2006,2,19918,48
05/07/2006,2,21840,1
05/07/2006,2,29863,12
05/07/2006,2,30099,4
05/07/2006,3,286,1
05/07/2006,3,553,2
05/07/2006,3,4134,1
05/07/2006,3,4538,60
05/07/2006,3,4766,2
05/07/2006,3,4837,16
05/07/2006,3,9812,1
05/07/2006,3,10292,1
05/07/2006,3,13749,1
05/07/2006,3,27715,2
05/07/2006,4,553,1
05/07/2006,4,4323,1
05/07/2006,4,4760,73
05/07/2006,4,4766,4408
05/07/2006,4,4837,3
05/07/2006,4,7132,2
05/07/2006,4,9800,747
05/07/2006,4,13749,2
05/07/2006,4,14778,2
